α,θ,L Enc,R Enc,L_u,R_u,X,Y,θ,error,L_P,R_P,L_I,R_I,L_D,R_D
3.122011,-1.893624,45,47,-0.061256,0.054964,-0.821076,0.000000,-7.376583,-0.004279,-0.077020,-0.077020,-0.000000,-0.000000,0.015764,0.015764
3.119471,-1.686005,29,30,0.009935,-0.008914,-0.726880,0.000000,-7.358617,-0.001739,-0.031307,-0.031307,-0.000000,-0.000000,0.041242,0.041242
3.085634,-1.580361,26,86,0.713093,-0.639845,-0.648596,0.000000,-7.268785,0.032097,0.577752,0.577752,0.000000,0.000000,0.135341,0.135341
3.045333,-1.591278,55,61,1.000000,-0.897282,-0.533353,0.000000,-7.202052,0.072399,1.303176,1.303176,0.000000,0.000000,0.073721,0.073721
3.060710,-1.600317,68,72,0.933043,-0.837202,-0.354714,0.000000,-7.132752,0.057022,1.026398,1.026398,0.000000,0.000000,-0.093355,-0.093355
-3.139857,-1.591023,36,30,-1.000000,0.897282,-0.211237,0.000000,-7.073719,-0.025596,-0.460732,-0.460732,-0.000000,-0.000000,-0.665218,-0.665218
3.129939,-1.604443,-16,-15,0.526311,-0.472250,-0.248839,0.000000,-7.128902,-0.012207,-0.219731,-0.219731,-0.000000,-0.000000,0.746042,0.746042
3.122260,-1.591932,4,4,-0.377359,0.338597,-0.234722,0.000000,-6.990303,-0.004528,-0.081501,-0.081501,-0.000000,-0.000000,-0.295858,-0.295858
3.131502,-1.595255,0,0,-0.259758,0.233076,-0.234081,0.000000,-7.004420,-0.013771,-0.247870,-0.247870,-0.000000,-0.000000,-0.011888,-0.011888
3.127184,-1.602546,0,0,-0.140126,0.125732,-0.234081,0.000000,-7.004420,-0.009452,-0.170138,-0.170138,-0.000000,-0.000000,0.030012,0.030012
3.121642,-1.603970,0,0,-0.062918,0.056455,-0.234081,0.000000,-7.004420,-0.003910,-0.070385,-0.070385,-0.000000,-0.000000,0.007467,0.007467
3.120491,-1.603511,0,0,-0.058774,0.052737,-0.234081,0.000000,-7.004420,-0.002759,-0.049662,-0.049662,-0.000000,-0.000000,-0.009112,-0.009112
3.124957,-1.603051,0,0,-0.144771,0.129900,-0.234081,0.000000,-7.004420,-0.007225,-0.130051,-0.130051,-0.000000,-0.000000,-0.014720,-0.014720
3.131215,-1.603410,0,0,-0.265729,0.238434,-0.234081,0.000000,-7.004420,-0.013483,-0.242691,-0.242691,-0.000000,-0.000000,-0.023038,-0.023038
3.140640,-1.603559,0,0,-0.447764,0.401771,-0.234209,0.000000,-7.003137,-0.022908,-0.412352,-0.412352,-0.000000,-0.000000,-0.035412,-0.035412
3.131832,-1.617672,-2,-5,-0.212747,0.190894,-0.266292,0.000000,-7.288037,-0.014101,-0.253810,-0.253810,-0.000000,-0.000000,0.041063,0.041063
3.122942,-1.647831,0,-3,-0.091461,0.082066,-0.271297,0.000000,-7.320120,-0.005210,-0.093779,-0.093779,-0.000000,-0.000000,0.002317,0.002317
3.130462,-1.678634,0,-13,-0.251208,0.225404,-0.280665,0.000000,-7.413805,-0.012730,-0.229142,-0.229142,-0.000000,-0.000000,-0.022066,-0.022066
3.141455,-1.701662,0,-189,-0.457458,0.410468,-0.343164,0.000000,-8.036221,-0.023723,-0.427016,-0.427016,-0.000000,-0.000000,-0.030441,-0.030441
